post_id,title,status,City,Address
12503,"Border Report",publish,"Houston, TX","7700 Westpark Drive, Houston, Texas 77063, United States"
12520,"CW Atlanta (Encompass)",publish,"Atlanta, GA","3845 Pleasantdale Road"
12521,"CW Burbank (The Pointe)",publish,"Burbank, CA","2900 West Alameda Avenue, Burbank, CA, USA"
12415,"KAMR KCIT KCPN",publish,"Amarillo, TX","1015 S Fillmore St Amarillo TX"
12464,"KARD KTVE",publish,"Monroe, LA","200 Pavilion Road West Monroe LA"
12458,"KARK KARZ KLRT KASN",publish,"Little Rock, AR","1401 W. Capitol Avenue Little Rock AR"
12522,KAZT,publish,"Phoenix, AZ","4343 East Camelback Road suite 130, Phoenix, AZ 85018, USA"
12482,KCAU,publish,"Sioux City, IA","5993 Gordon Drive Sioux City IA"
12473,KCLO,publish,"Rapid City, SD","3615 Canyon Lake Dr. Rapid City SD"
12434,KDAF,publish,"Dallas, TX","8001 John W. Carpenter Freeway Dallas TX"
12387,"KDVR KWGN",publish,"Denver, CO","100 East Speer Boulevard, Denver, Colorado 80203, United States"
12403,"KELO KDLO KPLO",publish,"Sioux Falls, SD","501 S. Phillips Avenue Sioux Falls, SD 57104"
12489,"KETK KFXK KLPN-LD",publish,"Tyler, TX","4300 Richmond Rd. Tyler TX"
12495,"KFDX KJTL KJBO-LP",publish,"Wichita Falls, TX","4500 Seymour Hwy. Wichita Falls TX"
12395,"KFOR KAUT",publish,"Oklahoma City, OK","444 East Britton Road, Oklahoma City, Oklahoma 73114, United States"
12418,"KGET KKEY",publish,"Bakersfield, CA","2120 L Street Bakersfield CA"
12451,"KHON KGMD KGMV KHII KHAW KAII",publish,"Honolulu, HI","88 Piikoi Street Honolulu HI"
12405,KIAH,publish,"Houston, TX","7700 Westpark Drive, Houston, Texas 77063, United States"
12457,KLAS,publish,"Las Vegas, NV","3228 Channel 8 Dr. Las Vegas NV"
12459,"KLBK KAMC",publish,"Lubbock, TX","7403 S University Lubbock TX"
12455,KLFY,publish,"Lafayette, LA","1808 Eraste Landry Rd. Lafayette LA"
12478,"KLST KSAN",publish,"San Angelo, TX","2800 Armstrong St. San Angelo TX"
12461,"KMID KPEJ",publish,"Midland, TX","1550 W. Interstate H 20 Odessa TX"
12384,"KNWA KFTA KXNW",publish,"Fayetteville, AR","609 West Dickson Street, Fayetteville, Arkansas 72701, United States"
12469,"KOIN KRCW",publish,"Portland, OR","222 SW Columbia Street Suite 102 Portland OR;10255 Southwest Arctic Drive, Beaverton, Oregon 97005, United States, ;"
12485,"KOLR KOZL KRBK",publish,"Springfield, MO","2650 E. Division Street Springfield MO"
12443,"KREX KGJT-CD KFQX",publish,"Grand Junction, CO","345 Hillcrest Manor Grand Junction CO"
12479,KRON,publish,"San Francisco, CA","900 Front Street San Francisco CA"
12412,"KRQE KBIM KREZ KWBQ KASY KRWB",publish,"Albuquerque, NM","13 Broadcast Plaza Albuquerque NM"
12442,"KSEE KGPE",publish,"Fresno, CA","5035 E. McKinley Ave. Fresno CA"
12453,"KSNF KODE",publish,"Joplin, MO","1502 S Cleveland Ave, Joplin, Missouri 64801, United States"
12487,"KSNT KTKA KTMJ-CD",publish,"Topeka, KS","6835 US 24 Topeka KS 66618"
12494,KSNW,publish,"Wichita, KS","833 N. Main Street Wichita KS 67203"
12420,"KSVI KHMT",publish,"Billings, MT","445 South 24th Street Billings MT"
12397,"KSWB KUSI",publish,"San Diego, CA","4575 Viewridge Ave, San Diego, CA 92123, USA"
12411,"KTAB KRBC",publish,"Abilene, TX","4510 South 14th Abilene TX"
12481,"KTAL KMSS KSHV",publish,"Shreveport, LA","3150 North Market Street Shreveport LA"
12406,KTLA,publish,"Los Angeles, CA","Sunset Bronson Studios, 5800 W Sunset Blvd, Los Angeles, California 90028, United States"
12437,KTSM,publish,"El Paso, TX","3801 Constitution Ave (Building D) El Paso TX"
12398,"KTVI KPLR",publish,"St. Louis, MO","2250 Ball Drive, Saint Louis, Missouri 63146, United States"
12402,"KTVX KUCW",publish,"Salt Lake, UT","2175 1700 South, Salt Lake City, Utah 84104, United States"
12407,KTXL,publish,"Sacramento, CA","4655 Fruitridge Road, Sacramento, California 95820, United States"
12448,"KVEO KGBT",publish,"Harlingen, TX","9201 West Expressway 83, Harlingen, TX, USA"
12491,"KWKT KYLE",publish,"Waco, TX","8803 Woodway Drive Waco TX"
12417,"KXAN KNVA KBVO",publish,"Austin, TX","908 W. Martin Luther King Jr. Blvd. Austin TX"
12462,"KXMA KXMC",publish,"Minot, ND","2121 2nd Street SE Minot ND"
12423,"KXMB KXMD KXMA KXMC",publish,"Bismarck, ND","1811 North 15th Street Bismarck ND"
12431,"KXRM KXTU-LD",publish,"Colorado Springs, CO","560 Wooten Road Colorado Springs CO"
12513,"Nashville Design Center NDC",publish,"Nashville, TN",
12499,"NewsNation Chicago",publish,"Chicago, IL","2501 West Bradley Place, Chicago, Illinois 60618, United States"
12506,"NewsNation Dallas Bureau",publish,"Dallas, TX","8001 John W. Carpenter Freeway Dallas TX"
12509,"NewsNation DC Bureau",publish,"Washington, DC","400 North Capitol Street Northwest, Washington, District of Columbia 20001, United States"
12516,"NewsNation Digital",publish,"Chicago, IL","303 East Wacker Drive, Chicago, IL, USA"
12512,"NewsNation Feed Room",publish,"Chicago, IL","25101 West Bradley Place, Chicago, IL, USA"
12507,"NewsNation LA Bureau",publish,"Los Angeles, CA","Sunset Bronson Studios, 5800 W Sunset Blvd, Los Angeles, California 90028, United States"
12502,"NewsNation Miami Bureau",publish,"Miami, FL","7290 Northwest 1st Court, Miami, FL 33150, USA"
12508,"NewsNation NYC Bureau",publish,"New York, NY","220 East 42nd Street, New York, NY, USA"
12511,"NewsNation Shows Daybook",publish,"Chicago, IL","2501 West Bradley Place, Chicago, IL, USA"
12504,"Nexstar Content Desk",publish,"Dallas, TX","545 East John Carpenter Freeway, Irving, Texas 75062, United States"
12500,"Nexstar National Digital Content",publish,"Dallas, TX","545 East John Carpenter Freeway, Irving, Texas 75062, United States"
14193,"Nexstar New York",publish,"New York, NY","1301 Avenue of the Americas 7th Floor New York, NY 10019"
12498,"Nexstar Washington Bureau",publish,"Washington, DC","400 North Capitol Street Northwest, Washington, District of Columbia 20001, United States"
12515,"Rewind TV",publish,"Chicago, IL",
12517,"The Hill",publish,"Washington, DC","400 North Capitol St NW, Washington, DC, USA, Suite 790"
12441,WANE,publish,"Fort Wayne, IN","2915 West State Blvd. Fort Wayne IN"
